Icons provided by game-icons.net under CC BY 3.0 DEED license.

Authors & Contributors
Name	Icons	URL
Delapouite	2007	https://delapouite.com
Lorc	1429	https://lorcblog.blogspot.com
Skoll	172	
Viscious Speed	121	https://viscious-speed.deviantart.com
Caro Asercion	98	
sbed	95	http://opengameart.org/content/95-game-icons
Simon (aussiesim)	52	
DarkZaitzev	32	http://darkzaitzev.deviantart.com
Cathelineau	29	
Quoting	12	
Faithtoken	10	http://www.faithtoken.com
Lord Berandas	10	http://berandas.deviantart.com
Willdabeast	7	http://wjbstories.blogspot.com
PriorBlue	7	
Carl Olsen	6	https://twitter.com/unstoppableCarl
Lucas	5	
Felbrigg	5	http://blackdogofdoom.blogspot.co.uk
Pierre Leducq	3	
Guard13007	3	https://guard13007.com
rihlsul	3	
Kier Heyl	3	
John Redman	3	http://www.uniquedicetowers.com
Various artists	2	https://commons.wikimedia.org
Zajkonur	2	
GeneralAce135	2	
Zeromancer	2	
Andy Meneely	2	http://www.se.rit.edu/~andy/
HeavenlyDog	2	http://www.gnomosygoblins.blogspot.com
Pepijn Poolman	1	
starseeker	1	
catsu	1	
SpencerDub	1	
sparker	1	http://citizenparker.com
Irongamer	1	http://ecesisllc.wix.com/home
John Colburn	1	http://ninmunanmu.com
